ItalianCuisine:
Name: MargheritaPizza, Price: 12.00, Category: Italian, Type: Veg, Ratings: 5.00, Total_ratings: 1
Name: Pizza, Price: 14.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: VegetableLasagna, Price: 15.00, Category: Italian, Type: Veg, Ratings: 4.00, Total_ratings: 1
Name: Pasta, Price: 16.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: MushroomRisotto, Price: 14.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Risotto, Price: 18.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: CapreseSalad, Price: 10.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Lasagna, Price: 17.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: EggplantParmesan, Price: 16.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Tiramisu, Price: 18.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: SpinachRavioli, Price: 13.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Bruschetta, Price: 10.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: Bruschetta, Price: 8.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Gelato, Price: 10.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: Panzanella, Price: 9.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Panettone, Price: 20.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: Focaccia, Price: 7.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Calzone, Price: 15.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: Tiramisu, Price: 18.00, Category: Italian, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Cannoli, Price: 12.00, Category: Italian, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
ChineseCuisine:
Name: VegetableDumplings, Price: 10.00, Category: Chinese, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: Dumplings, Price: 12.00, Category: Chinese, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
Name: VegetableFriedRice, Price: 12.00, Category: Chinese, Type: Veg, Ratings: 0.00, Total_ratings: 0
Name: FriedRice, Price: 14.00, Category: Chinese, Type: NonVeg, Ratings: 0.00, Total_ratings: 0
